participant,top-aligned-25cuetarget,top-aligned-75cuetarget,top-misaligned-25cuetarget,top-misaligned-75cuetarget,bottom-aligned-25cuetarget,bottom-aligned-75cuetarget,bottom-misaligned-25cuetarget,bottom-misaligned-75cuetarget,RT_top-aligned-25cuetarget,RT_top-aligned-75cuetarget,RT_top-misaligned-25cuetarget,RT_top-misaligned-75cuetarget,RT_bottom-aligned-25cuetarget,RT_bottom-aligned-75cuetarget,RT_bottom-misaligned-25cuetarget,RT_bottom-misaligned-75cuetarget,aligned,misaligned,aligend_top,aligned_bottom,misaligned_top,misaligned_bottom,aligned_25cuetarget,aligned_75cuetarget,misaligned_25cuetarget,misaligned_75cuetarget,RT_aligned,RT_misaligned,RT_aligend_top,RT_aligned_bottom,RT_misaligned_top,RT_misaligned_bottom,RT_aligned_25cuetarget,RT_aligned_75cuetarget,RT_misaligned_25cuetarget,RT_misaligned_75cuetarget
1,0.9,0.966666667,0.95,0.95,0.95,0.966666667,0.95,0.95,0.72674191,0.586056297,0.7835906,0.620473484,0.887346716,0.53290792,1.000252826,0.553967772,0.945833334,0.95,0.933333334,0.958333334,0.95,0.95,0.933333334,0.966666667,0.95,0.95,0.683263211,0.739571171,0.656399104,0.710127318,0.702032042,0.777110299,0.629824915,0.559482109,0.891921713,0.587220628
2,0.85,0.9,0.4,0.633333333,0.85,0.933333333,0.6,0.9,1.953502252,0.888344247,1.932497713,1.304107542,1.754323281,0.738806254,2.091912484,0.752941081,0.883333333,0.633333333,0.875,0.891666667,0.516666667,0.75,0.891666667,0.916666667,0.5,0.766666667,1.333744009,1.520364705,1.42092325,1.246564768,1.618302628,1.422426783,1.346154253,0.813575251,2.012205099,1.028524312
3,0.8,0.933333333,0.95,0.683333333,0.8,0.866666667,0.75,0.85,0.73118111,0.397331719,0.907106953,0.526170136,0.576684332,0.776866697,0.894745808,0.68842467,0.85,0.808333333,0.866666667,0.833333334,0.816666667,0.8,0.833333334,0.9,0.85,0.766666667,0.620515965,0.754111892,0.564256415,0.676775515,0.716638545,0.791585239,0.754023904,0.587099208,0.900926381,0.607297403
5,0.85,0.983333333,0.8,0.966666667,1,0.983333333,0.8,0.983333333,0.738858411,0.447165866,0.637978167,0.495164446,0.993381872,0.37866774,0.948394695,0.39987081,0.954166667,0.8875,0.916666667,0.991666667,0.883333334,0.891666667,0.916666667,0.983333333,0.8,0.975,0.639518472,0.62035203,0.593012139,0.686024806,0.566571307,0.674132753,0.558763076,0.412916803,0.793186431,0.447517628
6,0.95,0.966666667,0.95,0.95,0.85,0.966666667,0.9,0.966666667,0.370841062,0.37418811,0.387812084,0.385362537,0.467567903,0.386340186,0.643097871,0.35254184,0.933333334,0.941666667,0.958333334,0.908333334,0.95,0.933333334,0.958333334,0.966666667,0.925,0.958333334,0.399734315,0.442203583,0.372514586,0.426954045,0.386587311,0.497819856,0.378590624,0.380264148,0.515454978,0.368952189
7,1,1,0.9,0.983333333,0.95,0.983333333,0.75,0.9,0.443361345,0.334499196,0.615702871,0.383150729,0.556893667,0.390925051,0.629107369,0.535240072,0.983333333,0.883333333,1,0.966666667,0.941666667,0.825,0.991666667,0.991666667,0.825,0.941666667,0.431419815,0.54080026,0.388930271,0.473909359,0.4994268,0.582173721,0.417143198,0.362712124,0.62240512,0.459195401
8,0.85,0.933333333,0.55,0.85,0.95,0.833333333,0.8,0.85,1.186843052,0.803781342,1.113674787,0.860733476,0.812959411,1.008278713,1.107733602,1.064221962,0.891666667,0.7625,0.891666667,0.891666667,0.7,0.825,0.841666667,0.883333333,0.675,0.85,0.95296563,1.036590957,0.995312197,0.910619062,0.987204132,1.085977782,1.097560883,0.906030028,1.110704195,0.962477719
9,0.2,0.666666667,0.1,0.65,0.55,0.916666667,0.4,0.883333333,0.572035092,0.486036114,1.036038959,0.5745589,0.733578815,0.353345049,0.735373445,0.381997935,0.583333334,0.508333333,0.433333334,0.733333334,0.375,0.641666667,0.558333334,0.791666667,0.25,0.766666667,0.536248768,0.68199231,0.529035603,0.543461932,0.80529893,0.55868569,0.462690071,0.419690582,0.885706202,0.478278418
10,0.85,0.85,0.75,0.666666667,0.6,0.833333333,0.55,0.566666667,0.892658847,1.030529077,0.709907408,0.994790819,1.377186206,0.691712488,1.357176479,0.687233073,0.783333333,0.633333334,0.85,0.716666667,0.708333334,0.558333334,0.841666667,0.841666667,0.65,0.616666667,0.998021655,0.937276945,0.961593962,1.034449347,0.852349114,1.022204776,0.792185668,0.861120783,1.033541944,0.841011946
11,0.95,0.983333333,0.9,0.933333333,0.95,0.983333333,1,0.983333333,0.513786293,0.396644618,0.543610454,0.40262654,0.386187456,0.440260838,0.453021882,0.475227623,0.966666667,0.954166667,0.966666667,0.966666667,0.916666667,0.991666667,0.966666667,0.983333333,0.95,0.958333333,0.434219801,0.468621625,0.455215456,0.413224147,0.473118497,0.464124753,0.477023566,0.418452728,0.498316168,0.438927082
12,0.9,0.933333333,1,0.966666667,0.9,0.966666667,0.9,0.85,0.73552572,0.549102724,0.843564505,0.631278167,0.495849279,0.858811949,0.687057446,0.927450636,0.925,0.929166667,0.916666667,0.933333334,0.983333334,0.875,0.933333334,0.95,0.95,0.908333334,0.659822418,0.772337689,0.642314222,0.677330614,0.737421336,0.807254041,0.797168835,0.703957337,0.765310976,0.779364402
13,0.8,0.95,0.55,0.933333333,1,0.966666667,0.7,0.983333333,0.871855327,0.774407096,0.996612865,0.789159455,1.182899696,0.545386728,1.561953641,0.563039581,0.929166667,0.791666667,0.875,0.983333334,0.741666667,0.841666667,0.883333334,0.958333334,0.625,0.958333333,0.843637212,0.977691386,0.823131212,0.864143212,0.89288616,1.062496611,0.708621028,0.659896912,1.279283253,0.676099518
14,0.9,0.9,0.8,0.916666667,0.9,1,0.9,0.95,0.562697627,0.560832182,0.499636972,0.56044732,0.59219673,0.366423445,0.707680984,0.373868679,0.925,0.891666667,0.9,0.95,0.858333334,0.925,0.95,0.95,0.85,0.933333334,0.520537496,0.535408489,0.561764905,0.479310088,0.530042146,0.540774832,0.464560536,0.463627814,0.603658978,0.467158
15,0.35,1,0.45,0.983333333,0.7,0.983333333,0.95,0.95,1.104906369,0.362824379,1.213001934,0.392436736,0.656047557,0.542774144,0.513403511,0.575121715,0.758333333,0.833333333,0.675,0.841666667,0.716666667,0.95,0.666666667,0.991666667,0.7,0.966666667,0.666638112,0.673490974,0.733865374,0.599410851,0.802719335,0.544262613,0.823840257,0.452799262,0.863202723,0.483779226
16,0.75,0.933333333,0.95,0.983333333,0.75,0.883333333,0.95,0.933333333,0.985624073,0.43019494,0.867838882,0.485109689,0.788217543,0.959307428,0.72537016,0.802094405,0.829166667,0.954166667,0.841666667,0.816666667,0.966666667,0.941666667,0.816666667,0.908333333,0.95,0.958333333,0.790835996,0.720103284,0.707909507,0.873762486,0.676474286,0.763732283,0.972465751,0.694751184,0.796604521,0.643602047
17,0.9,0.883333333,0.8,0.933333333,0.85,0.75,0.9,0.85,0.50887975,0.694808201,0.419629295,0.615251693,0.58118661,0.486079254,0.673108588,0.513653623,0.845833333,0.870833333,0.891666667,0.8,0.866666667,0.875,0.825,0.816666667,0.85,0.891666667,0.567738454,0.5554108,0.601843976,0.533632932,0.517440494,0.593381106,0.497479502,0.590443728,0.546368942,0.564452658
18,0.85,0.916666667,0.85,0.95,0.9,0.933333333,1,0.933333333,0.81950576,1.12243734,0.752325316,1.010100532,1.136989312,0.964670568,1.243981399,1.213247988,0.9,0.933333333,0.883333334,0.916666667,0.9,0.966666667,0.891666667,0.925,0.925,0.941666667,1.010900745,1.054913809,0.97097155,1.05082994,0.881212924,1.228614694,0.892088164,1.043553954,0.998153358,1.11167426
19,1,0.983333333,0.9,0.983333333,0.85,0.983333333,0.9,0.966666667,0.630338132,0.423365786,0.657991855,0.439397688,0.530924328,0.574290826,0.548265355,0.559370972,0.954166667,0.9375,0.991666667,0.916666667,0.941666667,0.933333334,0.991666667,0.983333333,0.9,0.975,0.539729768,0.551256468,0.526851959,0.552607577,0.548694772,0.553818164,0.602314479,0.498828306,0.603128605,0.49938433
20,0.7,0.933333333,0.75,0.95,0.9,0.75,0.75,0.683333333,0.479425651,0.503694472,0.489472899,0.487535576,0.523518523,0.423081164,0.418347467,0.548196565,0.820833333,0.783333333,0.816666667,0.825,0.85,0.716666667,0.725,0.841666667,0.75,0.816666667,0.482429953,0.485888127,0.491560062,0.473299844,0.488504238,0.483272016,0.451253408,0.463387818,0.453910183,0.517866071
