Participant	isCorrect	CuedHalf	Alignment	participant	Probability
1	0.9	Top	Aligned	1	25cueTarget
2	0.85	Top	Aligned	2	25cueTarget
3	0.8	Top	Aligned	3	25cueTarget
4	0.25	Top	Aligned	4	25cueTarget
5	0.85	Top	Aligned	5	25cueTarget
6	0.95	Top	Aligned	6	25cueTarget
7	1.0	Top	Aligned	7	25cueTarget
8	0.85	Top	Aligned	8	25cueTarget
9	0.2	Top	Aligned	9	25cueTarget
10	0.85	Top	Aligned	10	25cueTarget
11	0.95	Top	Aligned	11	25cueTarget
12	0.9	Top	Aligned	12	25cueTarget
13	0.8	Top	Aligned	13	25cueTarget
14	0.9	Top	Aligned	14	25cueTarget
15	0.35	Top	Aligned	15	25cueTarget
16	0.75	Top	Aligned	16	25cueTarget
17	0.9	Top	Aligned	17	25cueTarget
18	0.85	Top	Aligned	18	25cueTarget
19	1.0	Top	Aligned	19	25cueTarget
20	0.7	Top	Aligned	20	25cueTarget
1	0.95	Top	MisAligned	1	25cueTarget
2	0.4	Top	MisAligned	2	25cueTarget
3	0.95	Top	MisAligned	3	25cueTarget
4	0.4	Top	MisAligned	4	25cueTarget
5	0.8	Top	MisAligned	5	25cueTarget
6	0.95	Top	MisAligned	6	25cueTarget
7	0.9	Top	MisAligned	7	25cueTarget
8	0.55	Top	MisAligned	8	25cueTarget
9	0.1	Top	MisAligned	9	25cueTarget
10	0.75	Top	MisAligned	10	25cueTarget
11	0.9	Top	MisAligned	11	25cueTarget
12	1.0	Top	MisAligned	12	25cueTarget
13	0.55	Top	MisAligned	13	25cueTarget
14	0.8	Top	MisAligned	14	25cueTarget
15	0.45	Top	MisAligned	15	25cueTarget
16	0.95	Top	MisAligned	16	25cueTarget
17	0.8	Top	MisAligned	17	25cueTarget
18	0.85	Top	MisAligned	18	25cueTarget
19	0.9	Top	MisAligned	19	25cueTarget
20	0.75	Top	MisAligned	20	25cueTarget
1	0.95	Bottom	Aligned	1	25cueTarget
2	0.85	Bottom	Aligned	2	25cueTarget
3	0.8	Bottom	Aligned	3	25cueTarget
4	0.3	Bottom	Aligned	4	25cueTarget
5	1.0	Bottom	Aligned	5	25cueTarget
6	0.85	Bottom	Aligned	6	25cueTarget
7	0.95	Bottom	Aligned	7	25cueTarget
8	0.95	Bottom	Aligned	8	25cueTarget
9	0.55	Bottom	Aligned	9	25cueTarget
10	0.6	Bottom	Aligned	10	25cueTarget
11	0.95	Bottom	Aligned	11	25cueTarget
12	0.9	Bottom	Aligned	12	25cueTarget
13	1.0	Bottom	Aligned	13	25cueTarget
14	0.9	Bottom	Aligned	14	25cueTarget
15	0.7	Bottom	Aligned	15	25cueTarget
16	0.75	Bottom	Aligned	16	25cueTarget
17	0.85	Bottom	Aligned	17	25cueTarget
18	0.9	Bottom	Aligned	18	25cueTarget
19	0.85	Bottom	Aligned	19	25cueTarget
20	0.9	Bottom	Aligned	20	25cueTarget
1	0.95	Bottom	MisAligned	1	25cueTarget
2	0.6	Bottom	MisAligned	2	25cueTarget
3	0.75	Bottom	MisAligned	3	25cueTarget
4	0.3	Bottom	MisAligned	4	25cueTarget
5	0.8	Bottom	MisAligned	5	25cueTarget
6	0.9	Bottom	MisAligned	6	25cueTarget
7	0.75	Bottom	MisAligned	7	25cueTarget
8	0.8	Bottom	MisAligned	8	25cueTarget
9	0.4	Bottom	MisAligned	9	25cueTarget
10	0.55	Bottom	MisAligned	10	25cueTarget
11	1.0	Bottom	MisAligned	11	25cueTarget
12	0.9	Bottom	MisAligned	12	25cueTarget
13	0.7	Bottom	MisAligned	13	25cueTarget
14	0.9	Bottom	MisAligned	14	25cueTarget
15	0.95	Bottom	MisAligned	15	25cueTarget
16	0.95	Bottom	MisAligned	16	25cueTarget
17	0.9	Bottom	MisAligned	17	25cueTarget
18	1.0	Bottom	MisAligned	18	25cueTarget
19	0.9	Bottom	MisAligned	19	25cueTarget
20	0.75	Bottom	MisAligned	20	25cueTarget
1	0.9666666666666667	Top	Aligned	1	75cueTarget
2	0.9	Top	Aligned	2	75cueTarget
3	0.9333333333333333	Top	Aligned	3	75cueTarget
4	0.2833333333333333	Top	Aligned	4	75cueTarget
5	0.9833333333333333	Top	Aligned	5	75cueTarget
6	0.9666666666666667	Top	Aligned	6	75cueTarget
7	1.0	Top	Aligned	7	75cueTarget
8	0.9333333333333333	Top	Aligned	8	75cueTarget
9	0.6666666666666666	Top	Aligned	9	75cueTarget
10	0.85	Top	Aligned	10	75cueTarget
11	0.9833333333333333	Top	Aligned	11	75cueTarget
12	0.9333333333333333	Top	Aligned	12	75cueTarget
13	0.95	Top	Aligned	13	75cueTarget
14	0.9	Top	Aligned	14	75cueTarget
15	1.0	Top	Aligned	15	75cueTarget
16	0.9333333333333333	Top	Aligned	16	75cueTarget
17	0.8833333333333333	Top	Aligned	17	75cueTarget
18	0.9166666666666666	Top	Aligned	18	75cueTarget
19	0.9833333333333333	Top	Aligned	19	75cueTarget
20	0.9333333333333333	Top	Aligned	20	75cueTarget
1	0.95	Top	MisAligned	1	75cueTarget
2	0.6333333333333333	Top	MisAligned	2	75cueTarget
3	0.6833333333333333	Top	MisAligned	3	75cueTarget
4	0.26666666666666666	Top	MisAligned	4	75cueTarget
5	0.9666666666666667	Top	MisAligned	5	75cueTarget
6	0.95	Top	MisAligned	6	75cueTarget
7	0.9833333333333333	Top	MisAligned	7	75cueTarget
8	0.85	Top	MisAligned	8	75cueTarget
9	0.65	Top	MisAligned	9	75cueTarget
10	0.6666666666666666	Top	MisAligned	10	75cueTarget
11	0.9333333333333333	Top	MisAligned	11	75cueTarget
12	0.9666666666666667	Top	MisAligned	12	75cueTarget
13	0.9333333333333333	Top	MisAligned	13	75cueTarget
14	0.9166666666666666	Top	MisAligned	14	75cueTarget
15	0.9833333333333333	Top	MisAligned	15	75cueTarget
16	0.9833333333333333	Top	MisAligned	16	75cueTarget
17	0.9333333333333333	Top	MisAligned	17	75cueTarget
18	0.95	Top	MisAligned	18	75cueTarget
19	0.9833333333333333	Top	MisAligned	19	75cueTarget
20	0.95	Top	MisAligned	20	75cueTarget
1	0.9666666666666667	Bottom	Aligned	1	75cueTarget
2	0.9333333333333333	Bottom	Aligned	2	75cueTarget
3	0.8666666666666667	Bottom	Aligned	3	75cueTarget
4	0.38333333333333336	Bottom	Aligned	4	75cueTarget
5	0.9833333333333333	Bottom	Aligned	5	75cueTarget
6	0.9666666666666667	Bottom	Aligned	6	75cueTarget
7	0.9833333333333333	Bottom	Aligned	7	75cueTarget
8	0.8333333333333334	Bottom	Aligned	8	75cueTarget
9	0.9166666666666666	Bottom	Aligned	9	75cueTarget
10	0.8333333333333334	Bottom	Aligned	10	75cueTarget
11	0.9833333333333333	Bottom	Aligned	11	75cueTarget
12	0.9666666666666667	Bottom	Aligned	12	75cueTarget
13	0.9666666666666667	Bottom	Aligned	13	75cueTarget
14	1.0	Bottom	Aligned	14	75cueTarget
15	0.9833333333333333	Bottom	Aligned	15	75cueTarget
16	0.8833333333333333	Bottom	Aligned	16	75cueTarget
17	0.75	Bottom	Aligned	17	75cueTarget
18	0.9333333333333333	Bottom	Aligned	18	75cueTarget
19	0.9833333333333333	Bottom	Aligned	19	75cueTarget
20	0.75	Bottom	Aligned	20	75cueTarget
1	0.95	Bottom	MisAligned	1	75cueTarget
2	0.9	Bottom	MisAligned	2	75cueTarget
3	0.85	Bottom	MisAligned	3	75cueTarget
4	0.45	Bottom	MisAligned	4	75cueTarget
5	0.9833333333333333	Bottom	MisAligned	5	75cueTarget
6	0.9666666666666667	Bottom	MisAligned	6	75cueTarget
7	0.9	Bottom	MisAligned	7	75cueTarget
8	0.85	Bottom	MisAligned	8	75cueTarget
9	0.8833333333333333	Bottom	MisAligned	9	75cueTarget
10	0.5666666666666667	Bottom	MisAligned	10	75cueTarget
11	0.9833333333333333	Bottom	MisAligned	11	75cueTarget
12	0.85	Bottom	MisAligned	12	75cueTarget
13	0.9833333333333333	Bottom	MisAligned	13	75cueTarget
14	0.95	Bottom	MisAligned	14	75cueTarget
15	0.95	Bottom	MisAligned	15	75cueTarget
16	0.9333333333333333	Bottom	MisAligned	16	75cueTarget
17	0.85	Bottom	MisAligned	17	75cueTarget
18	0.9333333333333333	Bottom	MisAligned	18	75cueTarget
19	0.9666666666666667	Bottom	MisAligned	19	75cueTarget
20	0.6833333333333333	Bottom	MisAligned	20	75cueTarget
