Participant	reactionTime	CuedHalf	Alignment	participant	Probability
1	0.7265823565505665	Top	Aligned	1	25cueTarget
2	2.335272047094703	Top	Aligned	2	25cueTarget
3	0.9422578754498317	Top	Aligned	3	25cueTarget
4	0.8505627263965504	Top	Aligned	4	25cueTarget
5	0.9564752960221086	Top	Aligned	5	25cueTarget
6	0.42624392942392053	Top	Aligned	6	25cueTarget
7	0.43525052095908123	Top	Aligned	7	25cueTarget
8	0.9999677594241803	Top	Aligned	8	25cueTarget
9		Top	Aligned	9	25cueTarget
10	0.8712361977399911	Top	Aligned	10	25cueTarget
11	0.6416711410789243	Top	Aligned	11	25cueTarget
12	0.7156391041627264	Top	Aligned	12	25cueTarget
13	0.8616370083376145	Top	Aligned	13	25cueTarget
14	0.6111501344023834	Top	Aligned	14	25cueTarget
15	2.3808619844706054	Top	Aligned	15	25cueTarget
16	0.7505967718341822	Top	Aligned	16	25cueTarget
17	0.5660415170300089	Top	Aligned	17	25cueTarget
18	0.7786560057691532	Top	Aligned	18	25cueTarget
19	0.7612135777887418	Top	Aligned	19	25cueTarget
20	0.539083443732538	Top	Aligned	20	25cueTarget
21	0.2313303514921035	Top	Aligned	21	25cueTarget
22	0.9341661924845539	Top	Aligned	22	25cueTarget
23	0.9881164491849227	Top	Aligned	23	25cueTarget
24	0.8613608078837084	Top	Aligned	24	25cueTarget
25	0.9376848825486377	Top	Aligned	25	25cueTarget
26	0.9047551964047469	Top	Aligned	26	25cueTarget
27	0.9688252821409454	Top	Aligned	27	25cueTarget
28	0.682193258829001	Top	Aligned	28	25cueTarget
29	0.5215025114594027	Top	Aligned	29	25cueTarget
30	0.8220095912925899	Top	Aligned	30	25cueTarget
31	0.7039238120196387	Top	Aligned	31	25cueTarget
32	0.7629055436700583	Top	Aligned	32	25cueTarget
1	0.6418834170816761	Top	MisAligned	1	25cueTarget
2	1.653499239325053	Top	MisAligned	2	25cueTarget
3	0.7875231447746955	Top	MisAligned	3	25cueTarget
4	0.5269699474248227	Top	MisAligned	4	25cueTarget
5	0.5855997399893778	Top	MisAligned	5	25cueTarget
6	0.426420285902269	Top	MisAligned	6	25cueTarget
7	0.6347531240985673	Top	MisAligned	7	25cueTarget
8	1.3232618159318008	Top	MisAligned	8	25cueTarget
9	0.7323681282796315	Top	MisAligned	9	25cueTarget
10	0.7830616147760642	Top	MisAligned	10	25cueTarget
11	0.6734630587685816	Top	MisAligned	11	25cueTarget
12	0.9190324207800011	Top	MisAligned	12	25cueTarget
13	0.9550757582522541	Top	MisAligned	13	25cueTarget
14	0.5791792461213845	Top	MisAligned	14	25cueTarget
15	1.5983574661307405	Top	MisAligned	15	25cueTarget
16	0.7183915732777137	Top	MisAligned	16	25cueTarget
17	0.6826759990149488	Top	MisAligned	17	25cueTarget
18	1.1022623716805053	Top	MisAligned	18	25cueTarget
19	0.7960668608434629	Top	MisAligned	19	25cueTarget
20	0.533750701525735	Top	MisAligned	20	25cueTarget
21	0.2977522680303082	Top	MisAligned	21	25cueTarget
22	1.0309339454009507	Top	MisAligned	22	25cueTarget
23	0.9517547583673149	Top	MisAligned	23	25cueTarget
24	0.7621425647230353	Top	MisAligned	24	25cueTarget
25	0.9436745651137943	Top	MisAligned	25	25cueTarget
26	0.7701197672286071	Top	MisAligned	26	25cueTarget
27	0.6520087020804307	Top	MisAligned	27	25cueTarget
28	0.6139681139208663	Top	MisAligned	28	25cueTarget
29	0.5907720757182687	Top	MisAligned	29	25cueTarget
30	0.79117817948149	Top	MisAligned	30	25cueTarget
31	0.8086760679060327	Top	MisAligned	31	25cueTarget
32	0.8836141098838519	Top	MisAligned	32	25cueTarget
1	0.9408251472748816	Bottom	Aligned	1	25cueTarget
2	2.427883302887494	Bottom	Aligned	2	25cueTarget
3	0.5241126321052434	Bottom	Aligned	3	25cueTarget
4	0.30942728010779774	Bottom	Aligned	4	25cueTarget
5	1.744777281848701	Bottom	Aligned	5	25cueTarget
6	0.621995946917845	Bottom	Aligned	6	25cueTarget
7	0.7553589202864466	Bottom	Aligned	7	25cueTarget
8	1.4496993125219888	Bottom	Aligned	8	25cueTarget
9	1.2582235007451215	Bottom	Aligned	9	25cueTarget
10	1.5356431798892471	Bottom	Aligned	10	25cueTarget
11	0.5022158488898318	Bottom	Aligned	11	25cueTarget
12	0.6921636464321637	Bottom	Aligned	12	25cueTarget
13	1.2255220571784198	Bottom	Aligned	13	25cueTarget
14	0.780277110420684	Bottom	Aligned	14	25cueTarget
15	0.8995954473496871	Bottom	Aligned	15	25cueTarget
16	0.7626263295179732	Bottom	Aligned	16	25cueTarget
17	0.7202788383853608	Bottom	Aligned	17	25cueTarget
18	1.315943803160917	Bottom	Aligned	18	25cueTarget
19	0.5476909672404873	Bottom	Aligned	19	25cueTarget
20	0.5933380298811244	Bottom	Aligned	20	25cueTarget
21	0.5307945831057926	Bottom	Aligned	21	25cueTarget
22	1.1263556165956996	Bottom	Aligned	22	25cueTarget
23	1.2060663682641461	Bottom	Aligned	23	25cueTarget
24	0.4750797410379164	Bottom	Aligned	24	25cueTarget
25	1.7098781030953807	Bottom	Aligned	25	25cueTarget
26	0.9233114003048589	Bottom	Aligned	26	25cueTarget
27	0.5036082747392356	Bottom	Aligned	27	25cueTarget
28	0.4652264380129054	Bottom	Aligned	28	25cueTarget
29	0.8685760976281017	Bottom	Aligned	29	25cueTarget
30	0.9203075787729837	Bottom	Aligned	30	25cueTarget
31	0.8438602257852575	Bottom	Aligned	31	25cueTarget
32	0.9700778410478961	Bottom	Aligned	32	25cueTarget
1	0.9467875658842136	Bottom	MisAligned	1	25cueTarget
2	1.755736445018556	Bottom	MisAligned	2	25cueTarget
3	0.7808712149737402	Bottom	MisAligned	3	25cueTarget
4	0.956573021930717	Bottom	MisAligned	4	25cueTarget
5	0.9714232599920252	Bottom	MisAligned	5	25cueTarget
6	0.6274171177905373	Bottom	MisAligned	6	25cueTarget
7	0.6057599312202607	Bottom	MisAligned	7	25cueTarget
8	1.0418338311092157	Bottom	MisAligned	8	25cueTarget
9	1.1329655073959657	Bottom	MisAligned	9	25cueTarget
10	1.7203969849823806	Bottom	MisAligned	10	25cueTarget
11	0.5240775967352366	Bottom	MisAligned	11	25cueTarget
12	0.8310149035629971	Bottom	MisAligned	12	25cueTarget
13	1.1550497397568376	Bottom	MisAligned	13	25cueTarget
14	0.6747127112620921	Bottom	MisAligned	14	25cueTarget
15	0.5782290356278786	Bottom	MisAligned	15	25cueTarget
16	0.8412020199307575	Bottom	MisAligned	16	25cueTarget
17	0.730888660477774	Bottom	MisAligned	17	25cueTarget
18	1.271118914089205	Bottom	MisAligned	18	25cueTarget
19	0.5528107969551527	Bottom	MisAligned	19	25cueTarget
20	0.7533968136558542	Bottom	MisAligned	20	25cueTarget
21	0.4886746509000659	Bottom	MisAligned	21	25cueTarget
22	1.1701935202872846	Bottom	MisAligned	22	25cueTarget
23	0.8200571411289275	Bottom	MisAligned	23	25cueTarget
24	0.46571222330782225	Bottom	MisAligned	24	25cueTarget
