	Response Time (ms)	Cue Prob	Alignment	Congruency	CuedHalf	Participant
0	726.6969171169242	25 cue	Aligned	Congruent	Top	1
1	1976.9212039326912	25 cue	Aligned	Congruent	Top	2
2	776.1277288358087	25 cue	Aligned	Congruent	Top	3
3	592.3114105492926	25 cue	Aligned	Congruent	Top	4
4	413.0374925185499	25 cue	Aligned	Congruent	Top	5
5	465.0551012646342	25 cue	Aligned	Congruent	Top	6
6	1021.7646570886636	25 cue	Aligned	Congruent	Top	7
7	425.4194140032822	25 cue	Aligned	Congruent	Top	8
8	1051.5613531359236	25 cue	Aligned	Congruent	Top	9
9	536.8967096908128	25 cue	Aligned	Congruent	Top	10
10	835.2178998308123	25 cue	Aligned	Congruent	Top	11
11	871.3023149369595	25 cue	Aligned	Congruent	Top	12
12	572.1371465246663	25 cue	Aligned	Congruent	Top	13
13	1283.0051285028192	25 cue	Aligned	Congruent	Top	14
14	995.8265136184347	25 cue	Aligned	Congruent	Top	15
15	472.6296837402818	25 cue	Aligned	Congruent	Top	16
16	809.1272755494477	25 cue	Aligned	Congruent	Top	17
17	656.469454802749	25 cue	Aligned	Congruent	Top	18
18	488.4370587093262	25 cue	Aligned	Congruent	Top	19
19	253.18737034685913	25 cue	Aligned	Congruent	Top	20
20	971.9515145050301	25 cue	Aligned	Congruent	Top	21
21	1000.3322195506801	25 cue	Aligned	Congruent	Top	22
22	780.2443041000515	25 cue	Aligned	Congruent	Top	23
23	872.5269847127493	25 cue	Aligned	Congruent	Top	24
24	785.9350658099478	25 cue	Aligned	Congruent	Top	25
25	621.6542689834495	25 cue	Aligned	Congruent	Top	26
26	553.2619310843368	25 cue	Aligned	Congruent	Top	27
27	622.8729031499824	25 cue	Aligned	Congruent	Top	28
28	683.1210653692709	25 cue	Aligned	Congruent	Top	29
29	668.6097673441776	25 cue	Aligned	Congruent	Top	30
30	807.5977240360397	25 cue	Aligned	Congruent	Top	31
31	740.0356905817587	25 cue	MisAligned	Congruent	Top	1
32	1784.0673424368476	25 cue	MisAligned	Congruent	Top	2
33	915.61500990553	25 cue	MisAligned	Congruent	Top	3
34	607.3046692192403	25 cue	MisAligned	Congruent	Top	4
35	407.0122610351632	25 cue	MisAligned	Congruent	Top	5
36	597.8344919622675	25 cue	MisAligned	Congruent	Top	6
37	1142.2730430748354	25 cue	MisAligned	Congruent	Top	7
38	401.2270089118498	25 cue	MisAligned	Congruent	Top	8
39	929.1445355471229	25 cue	MisAligned	Congruent	Top	9
40	545.8810043810445	25 cue	MisAligned	Congruent	Top	10
41	915.6011566676744	25 cue	MisAligned	Congruent	Top	11
42	876.174601881108	25 cue	MisAligned	Congruent	Top	12
43	533.9420875106347	25 cue	MisAligned	Congruent	Top	13
44	1264.5910315753242	25 cue	MisAligned	Congruent	Top	14
45	879.3964256356223	25 cue	MisAligned	Congruent	Top	15
46	579.9024150815214	25 cue	MisAligned	Congruent	Top	16
47	1171.2030551483622	25 cue	MisAligned	Congruent	Top	17
48	703.4809600708883	25 cue	MisAligned	Congruent	Top	18
49	510.4076617970028	25 cue	MisAligned	Congruent	Top	19
50	320.85394808698607	25 cue	MisAligned	Congruent	Top	20
51	1011.4041089346366	25 cue	MisAligned	Congruent	Top	21
52	1115.2422149510433	25 cue	MisAligned	Congruent	Top	22
53	855.6529535818845	25 cue	MisAligned	Congruent	Top	23
54	967.0996201623764	25 cue	MisAligned	Congruent	Top	24
55	837.4798866739918	25 cue	MisAligned	Congruent	Top	25
56	728.6529536133693	25 cue	MisAligned	Congruent	Top	26
57	630.7176301566263	25 cue	MisAligned	Congruent	Top	27
58	750.6492992247184	25 cue	MisAligned	Congruent	Top	28
59	772.0989941233962	25 cue	MisAligned	Congruent	Top	29
60	863.5070255292313	25 cue	MisAligned	Congruent	Top	30
61	975.4910256661889	25 cue	MisAligned	Congruent	Top	31
62	839.8265690172723	25 cue	Aligned	Congruent	Bottom	1
63	1720.7232025440694	25 cue	Aligned	Congruent	Bottom	2
64	512.4845073944678	25 cue	Aligned	Congruent	Bottom	3
65	944.9546248658979	25 cue	Aligned	Congruent	Bottom	4
66	494.76961483976214	25 cue	Aligned	Congruent	Bottom	5
67	573.1090842232902	25 cue	Aligned	Congruent	Bottom	6
68	795.8695054193312	25 cue	Aligned	Congruent	Bottom	7
69	737.8472720398538	25 cue	Aligned	Congruent	Bottom	8
