Participant	isCorrect	CuedHalf	Alignment	participant
1	0.875	Top	Aligned	1
2	0.525	Top	Aligned	2
3	0.975	Top	Aligned	3
4	0.875	Top	Aligned	4
5	0.925	Top	Aligned	5
6	0.925	Top	Aligned	6
7	0.975	Top	Aligned	7
8	0.9	Top	Aligned	8
9	0.7	Top	Aligned	9
10	0.95	Top	Aligned	10
11	0.675	Top	Aligned	11
12	0.9	Top	Aligned	12
13	1.0	Top	Aligned	13
14	0.85	Top	Aligned	14
15	1.0	Top	Aligned	15
16	0.85	Top	Aligned	16
17	0.825	Top	Aligned	17
18	0.875	Top	Aligned	18
19	0.975	Top	Aligned	19
20	0.875	Top	Aligned	20
1	0.775	Top	MisAligned	1
2	0.55	Top	MisAligned	2
3	0.975	Top	MisAligned	3
4	0.75	Top	MisAligned	4
5	0.9	Top	MisAligned	5
6	0.925	Top	MisAligned	6
7	0.925	Top	MisAligned	7
8	0.95	Top	MisAligned	8
9	0.775	Top	MisAligned	9
10	0.875	Top	MisAligned	10
11	0.725	Top	MisAligned	11
12	0.875	Top	MisAligned	12
13	0.85	Top	MisAligned	13
14	0.925	Top	MisAligned	14
15	1.0	Top	MisAligned	15
16	0.95	Top	MisAligned	16
17	0.925	Top	MisAligned	17
18	0.825	Top	MisAligned	18
19	0.975	Top	MisAligned	19
20	0.8	Top	MisAligned	20
1	0.725	Bottom	Aligned	1
2	0.75	Bottom	Aligned	2
3	1.0	Bottom	Aligned	3
4	0.725	Bottom	Aligned	4
5	0.95	Bottom	Aligned	5
6	0.875	Bottom	Aligned	6
7	0.95	Bottom	Aligned	7
8	0.6	Bottom	Aligned	8
9	0.825	Bottom	Aligned	9
10	0.925	Bottom	Aligned	10
11	0.65	Bottom	Aligned	11
12	0.95	Bottom	Aligned	12
13	1.0	Bottom	Aligned	13
14	0.85	Bottom	Aligned	14
15	0.95	Bottom	Aligned	15
16	0.875	Bottom	Aligned	16
17	0.95	Bottom	Aligned	17
18	0.675	Bottom	Aligned	18
19	0.85	Bottom	Aligned	19
20	0.85	Bottom	Aligned	20
1	0.5	Bottom	MisAligned	1
2	0.65	Bottom	MisAligned	2
3	0.9	Bottom	MisAligned	3
4	0.8	Bottom	MisAligned	4
5	0.925	Bottom	MisAligned	5
6	0.9	Bottom	MisAligned	6
7	0.925	Bottom	MisAligned	7
8	0.625	Bottom	MisAligned	8
9	0.7	Bottom	MisAligned	9
10	0.675	Bottom	MisAligned	10
11	0.45	Bottom	MisAligned	11
12	0.9	Bottom	MisAligned	12
13	0.9	Bottom	MisAligned	13
14	0.925	Bottom	MisAligned	14
15	0.9	Bottom	MisAligned	15
16	0.775	Bottom	MisAligned	16
17	0.825	Bottom	MisAligned	17
18	0.625	Bottom	MisAligned	18
19	0.85	Bottom	MisAligned	19
20	0.85	Bottom	MisAligned	20
