participant,Top_A,Top_M,Bottom_A,Bottom_M
1,0.775,0.725,0.425,0.375
2,0.4,0.575,0.625,0.7
3,0.6,0.85,0.75,0.875
4,0.45,0.675,0.5,0.65
5,0.75,0.875,0.7,0.775
6,0.9,0.975,0.875,0.775
7,0.675,0.85,0.925,0.75
8,0.425,0.9,0.6,0.575
9,0.65,0.625,0.65,0.65
10,0.4,0.375,0.925,0.75
11,0.65,0.675,0.45,0.325
12,0.375,0.75,0.8,0.75
13,0.45,0.625,0.45,0.625
14,0.525,0.825,0.375,0.525
15,1,1,0.65,0.55
16,0.525,0.925,0.8,0.775
17,0.775,0.85,0.175,0.025
18,0.475,0.725,0.6,0.6
19,0.825,0.925,0.45,0.725
20,0.475,0.75,0.875,0.9
