	variable	d	CuedHalf	Alignment	Congruency	participant
0	Congruent_Aligned_Top	1.1503493803760079	Top	Aligned	Congruent	1
1	Congruent_Aligned_Top	0.18836812479828802	Top	Aligned	Congruent	2
2	Congruent_Aligned_Top	3.919927969080108	Top	Aligned	Congruent	3
3	Congruent_Aligned_Top	1.6041115705458875	Top	Aligned	Congruent	4
4	Congruent_Aligned_Top	2.3741207620119362	Top	Aligned	Congruent	5
5	Congruent_Aligned_Top	3.0843850978899283	Top	Aligned	Congruent	6
6	Congruent_Aligned_Top	2.894553275613534	Top	Aligned	Congruent	7
7	Congruent_Aligned_Top	3.2415155500846544	Top	Aligned	Congruent	8
8	Congruent_Aligned_Top	0.5244005127080407	Top	Aligned	Congruent	9
9	Congruent_Aligned_Top	1.9634929909158474	Top	Aligned	Congruent	10
10	Congruent_Aligned_Top	0.9075243803397591	Top	Aligned	Congruent	11
11	Congruent_Aligned_Top	2.9264051924960723	Top	Aligned	Congruent	12
12	Congruent_Aligned_Top	3.5229542931495472	Top	Aligned	Congruent	13
13	Congruent_Aligned_Top	1.9710226805672697	Top	Aligned	Congruent	14
14	Congruent_Aligned_Top	2.6951649177748265	Top	Aligned	Congruent	15
15	Congruent_Aligned_Top	1.4217538559013576	Top	Aligned	Congruent	16
16	Congruent_Aligned_Top	2.894553275613534	Top	Aligned	Congruent	17
17	Congruent_Aligned_Top	2.0849386714494877	Top	Aligned	Congruent	18
18	Congruent_Aligned_Top	2.345284450947622	Top	Aligned	Congruent	19
19	Congruent_Aligned_Top	2.4319009459206082	Top	Aligned	Congruent	20
20	Congruent_Misligned_Top	1.008762129496269	Top	MisAligned	Congruent	1
21	Congruent_Misligned_Top	0.44430071081944933	Top	MisAligned	Congruent	2
22	Congruent_Misligned_Top	3.110313364916062	Top	MisAligned	Congruent	3
23	Congruent_Misligned_Top	1.1988902629041225	Top	MisAligned	Congruent	4
24	Congruent_Misligned_Top	2.0369665919050695	Top	MisAligned	Congruent	5
25	Congruent_Misligned_Top	3.3994954554785104	Top	MisAligned	Congruent	6
26	Congruent_Misligned_Top	2.1949464972989254	Top	MisAligned	Congruent	7
27	Congruent_Misligned_Top	2.169254139659513	Top	MisAligned	Congruent	8
28	Congruent_Misligned_Top	0.3700945599529016	Top	MisAligned	Congruent	9
29	Congruent_Misligned_Top	1.3394678066488002	Top	MisAligned	Congruent	10
30	Congruent_Misligned_Top	1.3531751524029478	Top	MisAligned	Congruent	11
31	Congruent_Misligned_Top	2.589880851314464	Top	MisAligned	Congruent	12
32	Congruent_Misligned_Top	2.31798495503839	Top	MisAligned	Congruent	13
33	Congruent_Misligned_Top	2.0372915969809346	Top	MisAligned	Congruent	14
34	Congruent_Misligned_Top	2.367064074460021	Top	MisAligned	Congruent	15
35	Congruent_Misligned_Top	1.45573520067868	Top	MisAligned	Congruent	16
36	Congruent_Misligned_Top	2.7210830364830567	Top	MisAligned	Congruent	17
37	Congruent_Misligned_Top	1.86917858214696	Top	MisAligned	Congruent	18
38	Congruent_Misligned_Top	1.7066168814042544	Top	MisAligned	Congruent	19
39	Congruent_Misligned_Top	1.226941699980482	Top	MisAligned	Congruent	20
40	Incongruent_Aligned_Top	0.23101451365242864	Top	Aligned	Incongruent	1
41	Incongruent_Aligned_Top	0.131973363271768	Top	Aligned	Incongruent	2
42	Incongruent_Aligned_Top	0.4424655294085921	Top	Aligned	Incongruent	3
43	Incongruent_Aligned_Top	0.19297801710930113	Top	Aligned	Incongruent	4
44	Incongruent_Aligned_Top	2.114021221134538	Top	Aligned	Incongruent	5
45	Incongruent_Aligned_Top	2.5631031310892007	Top	Aligned	Incongruent	6
46	Incongruent_Aligned_Top	0.45376219016987956	Top	Aligned	Incongruent	7
47	Incongruent_Aligned_Top	0.7454708648006875	Top	Aligned	Incongruent	8
48	Incongruent_Aligned_Top	-0.06844172376231183	Top	Aligned	Incongruent	9
49	Incongruent_Aligned_Top	-1.1879363942092798	Top	Aligned	Incongruent	10
50	Incongruent_Aligned_Top	0.5744388926803601	Top	Aligned	Incongruent	11
51	Incongruent_Aligned_Top	0.6159499271091049	Top	Aligned	Incongruent	12
52	Incongruent_Aligned_Top	0.19297801710930113	Top	Aligned	Incongruent	13
53	Incongruent_Aligned_Top	0.6604669039856923	Top	Aligned	Incongruent	14
54	Incongruent_Aligned_Top	2.560042091569322	Top	Aligned	Incongruent	15
55	Incongruent_Aligned_Top	-0.06295456891186031	Top	Aligned	Incongruent	16
