Participant	isCorrect	CuedHalf	Alignment	participant
1	0.775	Top	Aligned	1
2	0.4	Top	Aligned	2
3	0.6	Top	Aligned	3
4	0.45	Top	Aligned	4
5	0.75	Top	Aligned	5
6	0.9	Top	Aligned	6
7	0.675	Top	Aligned	7
8	0.425	Top	Aligned	8
9	0.65	Top	Aligned	9
10	0.4	Top	Aligned	10
11	0.65	Top	Aligned	11
12	0.375	Top	Aligned	12
13	0.45	Top	Aligned	13
14	0.525	Top	Aligned	14
15	1.0	Top	Aligned	15
16	0.525	Top	Aligned	16
17	0.775	Top	Aligned	17
18	0.475	Top	Aligned	18
19	0.825	Top	Aligned	19
20	0.475	Top	Aligned	20
21	0.8	Top	Aligned	21
22	0.55	Top	Aligned	22
23	0.75	Top	Aligned	23
24	0.125	Top	Aligned	24
25	0.275	Top	Aligned	25
26	0.525	Top	Aligned	26
27	0.725	Top	Aligned	27
28	0.45	Top	Aligned	28
29	0.3	Top	Aligned	29
30	0.875	Top	Aligned	30
31	0.675	Top	Aligned	31
32	0.625	Top	Aligned	32
1	0.725	Top	MisAligned	1
2	0.575	Top	MisAligned	2
3	0.85	Top	MisAligned	3
4	0.675	Top	MisAligned	4
5	0.875	Top	MisAligned	5
6	0.975	Top	MisAligned	6
7	0.85	Top	MisAligned	7
8	0.9	Top	MisAligned	8
9	0.625	Top	MisAligned	9
10	0.375	Top	MisAligned	10
11	0.675	Top	MisAligned	11
12	0.75	Top	MisAligned	12
13	0.625	Top	MisAligned	13
14	0.825	Top	MisAligned	14
15	1.0	Top	MisAligned	15
16	0.925	Top	MisAligned	16
17	0.85	Top	MisAligned	17
18	0.725	Top	MisAligned	18
19	0.925	Top	MisAligned	19
20	0.75	Top	MisAligned	20
21	0.875	Top	MisAligned	21
22	0.975	Top	MisAligned	22
23	0.875	Top	MisAligned	23
24	0.05	Top	MisAligned	24
25	0.3	Top	MisAligned	25
26	0.95	Top	MisAligned	26
27	0.825	Top	MisAligned	27
28	0.75	Top	MisAligned	28
29	0.6	Top	MisAligned	29
30	0.825	Top	MisAligned	30
31	0.95	Top	MisAligned	31
32	0.7	Top	MisAligned	32
1	0.425	Bottom	Aligned	1
2	0.625	Bottom	Aligned	2
3	0.75	Bottom	Aligned	3
4	0.5	Bottom	Aligned	4
5	0.7	Bottom	Aligned	5
6	0.875	Bottom	Aligned	6
7	0.925	Bottom	Aligned	7
8	0.6	Bottom	Aligned	8
9	0.65	Bottom	Aligned	9
10	0.925	Bottom	Aligned	10
11	0.45	Bottom	Aligned	11
12	0.8	Bottom	Aligned	12
13	0.45	Bottom	Aligned	13
14	0.375	Bottom	Aligned	14
15	0.65	Bottom	Aligned	15
16	0.8	Bottom	Aligned	16
17	0.175	Bottom	Aligned	17
18	0.6	Bottom	Aligned	18
19	0.45	Bottom	Aligned	19
20	0.875	Bottom	Aligned	20
21	0.55	Bottom	Aligned	21
22	0.45	Bottom	Aligned	22
23	0.675	Bottom	Aligned	23
24	0.75	Bottom	Aligned	24
25	0.7	Bottom	Aligned	25
26	0.5	Bottom	Aligned	26
27	0.75	Bottom	Aligned	27
28	0.5	Bottom	Aligned	28
29	0.2	Bottom	Aligned	29
30	0.725	Bottom	Aligned	30
31	0.625	Bottom	Aligned	31
32	0.6	Bottom	Aligned	32
1	0.375	Bottom	MisAligned	1
2	0.7	Bottom	MisAligned	2
3	0.875	Bottom	MisAligned	3
4	0.65	Bottom	MisAligned	4
5	0.775	Bottom	MisAligned	5
6	0.775	Bottom	MisAligned	6
7	0.75	Bottom	MisAligned	7
8	0.575	Bottom	MisAligned	8
9	0.65	Bottom	MisAligned	9
10	0.75	Bottom	MisAligned	10
11	0.325	Bottom	MisAligned	11
12	0.75	Bottom	MisAligned	12
13	0.625	Bottom	MisAligned	13
14	0.525	Bottom	MisAligned	14
15	0.55	Bottom	MisAligned	15
16	0.775	Bottom	MisAligned	16
17	0.025	Bottom	MisAligned	17
18	0.6	Bottom	MisAligned	18
19	0.725	Bottom	MisAligned	19
20	0.9	Bottom	MisAligned	20
21	0.65	Bottom	MisAligned	21
22	0.825	Bottom	MisAligned	22
23	0.775	Bottom	MisAligned	23
24	0.8	Bottom	MisAligned	24
25	0.9	Bottom	MisAligned	25
26	0.625	Bottom	MisAligned	26
27	0.7	Bottom	MisAligned	27
28	0.625	Bottom	MisAligned	28
29	0.75	Bottom	MisAligned	29
30	0.525	Bottom	MisAligned	30
31	0.525	Bottom	MisAligned	31
32	0.7	Bottom	MisAligned	32
