	variable	d	CuedHalf	Alignment	Congruency	participant
0	Congruent_Aligned_Top	1.1503493803760079	Top	Aligned	Congruent	1
1	Congruent_Aligned_Top	0.18836812479828802	Top	Aligned	Congruent	2
2	Congruent_Aligned_Top	3.919927969080108	Top	Aligned	Congruent	3
3	Congruent_Aligned_Top	1.6041115705458875	Top	Aligned	Congruent	4
4	Congruent_Aligned_Top	2.3741207620119362	Top	Aligned	Congruent	5
5	Congruent_Aligned_Top	3.0843850978899283	Top	Aligned	Congruent	6
6	Congruent_Aligned_Top	2.894553275613534	Top	Aligned	Congruent	7
7	Congruent_Aligned_Top	3.2415155500846544	Top	Aligned	Congruent	8
8	Congruent_Aligned_Top	0.5244005127080407	Top	Aligned	Congruent	9
9	Congruent_Aligned_Top	1.9634929909158474	Top	Aligned	Congruent	10
10	Congruent_Aligned_Top	0.9075243803397591	Top	Aligned	Congruent	11
11	Congruent_Aligned_Top	2.9264051924960723	Top	Aligned	Congruent	12
12	Congruent_Aligned_Top	3.5229542931495472	Top	Aligned	Congruent	13
13	Congruent_Aligned_Top	1.9710226805672697	Top	Aligned	Congruent	14
14	Congruent_Aligned_Top	2.6951649177748265	Top	Aligned	Congruent	15
15	Congruent_Aligned_Top	1.4217538559013576	Top	Aligned	Congruent	16
16	Congruent_Aligned_Top	2.894553275613534	Top	Aligned	Congruent	17
17	Congruent_Aligned_Top	2.0849386714494877	Top	Aligned	Congruent	18
18	Congruent_Aligned_Top	2.345284450947622	Top	Aligned	Congruent	19
19	Congruent_Aligned_Top	2.4319009459206082	Top	Aligned	Congruent	20
20	Congruent_Aligned_Top	2.839162853647425	Top	Aligned	Congruent	21
21	Congruent_Aligned_Top	3.0843850978899283	Top	Aligned	Congruent	22
22	Congruent_Aligned_Top	2.475964860432246	Top	Aligned	Congruent	23
23	Congruent_Aligned_Top	2.9264051924960723	Top	Aligned	Congruent	24
24	Congruent_Aligned_Top	2.6812870164452622	Top	Aligned	Congruent	25
25	Congruent_Aligned_Top	2.4864748605243863	Top	Aligned	Congruent	26
26	Congruent_Aligned_Top	2.996397374033844	Top	Aligned	Congruent	27
27	Congruent_Aligned_Top	1.5348986686804	Top	Aligned	Congruent	28
28	Congruent_Aligned_Top	2.79520300732748	Top	Aligned	Congruent	29
29	Congruent_Aligned_Top	2.5577241105825324	Top	Aligned	Congruent	30
30	Congruent_Aligned_Top	3.5229542931495472	Top	Aligned	Congruent	31
31	Congruent_Aligned_Top	2.1231727991175147	Top	Aligned	Congruent	32
32	Congruent_Misligned_Top	1.008762129496269	Top	MisAligned	Congruent	1
33	Congruent_Misligned_Top	0.44430071081944933	Top	MisAligned	Congruent	2
34	Congruent_Misligned_Top	3.110313364916062	Top	MisAligned	Congruent	3
35	Congruent_Misligned_Top	1.1988902629041225	Top	MisAligned	Congruent	4
36	Congruent_Misligned_Top	2.0369665919050695	Top	MisAligned	Congruent	5
37	Congruent_Misligned_Top	3.3994954554785104	Top	MisAligned	Congruent	6
38	Congruent_Misligned_Top	2.1949464972989254	Top	MisAligned	Congruent	7
39	Congruent_Misligned_Top	2.169254139659513	Top	MisAligned	Congruent	8
40	Congruent_Misligned_Top	0.3700945599529016	Top	MisAligned	Congruent	9
41	Congruent_Misligned_Top	1.3394678066488002	Top	MisAligned	Congruent	10
42	Congruent_Misligned_Top	1.3531751524029478	Top	MisAligned	Congruent	11
43	Congruent_Misligned_Top	2.589880851314464	Top	MisAligned	Congruent	12
44	Congruent_Misligned_Top	2.31798495503839	Top	MisAligned	Congruent	13
45	Congruent_Misligned_Top	2.0372915969809346	Top	MisAligned	Congruent	14
46	Congruent_Misligned_Top	2.367064074460021	Top	MisAligned	Congruent	15
47	Congruent_Misligned_Top	1.45573520067868	Top	MisAligned	Congruent	16
48	Congruent_Misligned_Top	2.7210830364830567	Top	MisAligned	Congruent	17
49	Congruent_Misligned_Top	1.86917858214696	Top	MisAligned	Congruent	18
50	Congruent_Misligned_Top	1.7066168814042544	Top	MisAligned	Congruent	19
51	Congruent_Misligned_Top	1.226941699980482	Top	MisAligned	Congruent	20
52	Congruent_Misligned_Top	1.3394678066488002	Top	MisAligned	Congruent	21
53	Congruent_Misligned_Top	2.996397374033844	Top	MisAligned	Congruent	22
54	Congruent_Misligned_Top	2.114021221134538	Top	MisAligned	Congruent	23
55	Congruent_Misligned_Top	1.4072129123996746	Top	MisAligned	Congruent	24
56	Congruent_Misligned_Top	1.7481095064184862	Top	MisAligned	Congruent	25
